Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5610","Import Quantity","01344.02","Cherries","2022","2022","t","57.55","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5910","Export Quantity","01344.02","Cherries","2022","2022","t","41.79","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","3639.61","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5610","Import Quantity","01344.02","Cherries","2022","2022","t","30.51","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","2.28","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01344.02","Cherries","2022","2022","t","3792.72","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.04","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01344.02","Cherries","2022","2022","t","2.16","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","7.07","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import Quantity","01344.02","Cherries","2022","2022","t","2025.84","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export Quantity","01344.02","Cherries","2022","2022","t","555.97","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","919.55","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","1068.61","A","Official figure",""
"TCL","Crops and livestock products","132","Cabo Verde","5610","Import Quantity","01344.02","Cherries","2022","2022","t","14.23","A","Official figure",""
"TCL","Crops and livestock products","132","Cabo Verde","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.03","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","379.92","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5610","Import Quantity","01344.02","Cherries","2022","2022","t","2.8","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5910","Export Quantity","01344.02","Cherries","2022","2022","t","21.38","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","01344.02","Cherries","2022","2022","t","18762.22","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","01344.02","Cherries","2022","2022","t","12148.41","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","162.49","A","Official figure",""
"TCL","Crops and livestock products","140","Central African Republic","5610","Import Quantity","01344.02","Cherries","2022","2022","t","21.38","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5910","Export Quantity","01344.02","Cherries","2022","2022","t","396525.19","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","615.67","A","Official figure",""
"TCL","Crops and livestock products","159","China","5610","Import Quantity","01344.02","Cherries","2022","2022","t","603960.96","A","Official figure",""
"TCL","Crops and livestock products","159","China","5910","Export Quantity","01344.02","Cherries","2022","2022","t","237261.11","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5610","Import Quantity","01344.02","Cherries","2022","2022","t","224375.52","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5910","Export Quantity","01344.02","Cherries","2022","2022","t","237251.57","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5610","Import Quantity","01344.02","Cherries","2022","2022","t","289.58","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5610","Import Quantity","01344.02","Cherries","2022","2022","t","366943.52","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","9.47","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import Quantity","01344.02","Cherries","2022","2022","t","12352.33","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.07","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","177.44","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","3.96","A","Official figure",""
"TCL","Crops and livestock products","184","Cook Islands","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.38","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","188","Costa Rica","5610","Import Quantity","01344.02","Cherries","2022","2022","t","39.67","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.64","A","Official figure",""
"TCL","Crops and livestock products","384","Côte d'Ivoire","5610","Import Quantity","01344.02","Cherries","2022","2022","t","6.66","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","1179.09","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","764.46","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","467.54","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","1589.17","A","Official figure",""
"TCL","Crops and livestock products","196","Cyprus","5610","Import Quantity","01344.02","Cherries","2022","2022","t","558.45","A","Official figure",""
