Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","792","Türkiye","512","Oman","5910","Export Quantity","01344.02","Cherries","2022","2022","t","28.4","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","616","Poland","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.01","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","616","Poland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","220.4","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","634","Qatar","5910","Export Quantity","01344.02","Cherries","2022","2022","t","49.79","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","410","Republic of Korea","5910","Export Quantity","01344.02","Cherries","2022","2022","t","4.97","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","642","Romania","5910","Export Quantity","01344.02","Cherries","2022","2022","t","86.12","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","643","Russian Federation","5910","Export Quantity","01344.02","Cherries","2022","2022","t","24592.12","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","643","Russian Federation","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","577.16","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","690","Seychelles","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.51","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","702","Singapore","5910","Export Quantity","01344.02","Cherries","2022","2022","t","585.88","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","752","Sweden","5910","Export Quantity","01344.02","Cherries","2022","2022","t","831.46","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","752","Sweden","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","1.76","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","756","Switzerland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","0.11","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","760","Syrian Arab Republic","5910","Export Quantity","01344.02","Cherries","2022","2022","t","1236.7","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","764","Thailand","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","804","Ukraine","5910","Export Quantity","01344.02","Cherries","2022","2022","t","46.65","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","784","United Arab Emirates","5910","Export Quantity","01344.02","Cherries","2022","2022","t","257.84","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","784","United Arab Emirates","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","0.01","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.01","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","826","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","01344.02","Cherries","2022","2022","t","121.63","A","Official figure"
